"rok,""pohlavi"",""vek_kod"",""kraj_bydliste"",""okres_bydliste"",""prevalence_hypertenze"""
"2011,1,66025029,""CZ042"",""CZ0423"",72"
"2011,1,66025029,""CZ042"",""CZ0424"",52"
"2011,1,66025029,""CZ042"",""CZ0425"",43"
"2011,1,66025029,""CZ042"",""CZ0426"",57"
"2011,1,66025029,""CZ042"",""CZ0427"",72"
"2011,1,66025029,""CZ051"",""CZ0511"",53"
"2011,1,66025029,""CZ051"",""CZ0512"",54"
"2011,1,66025029,""CZ051"",""CZ0513"",104"
"2011,1,66025029,""CZ051"",""CZ0514"",30"
"2011,1,66025029,""CZ052"",""CZ0521"",61"
"2011,1,66025029,""CZ052"",""CZ0522"",35"
"2011,1,66025029,""CZ052"",""CZ0523"",47"
"2011,1,66025029,""CZ052"",""CZ0524"",53"
"2011,1,66025029,""CZ052"",""CZ0525"",46"
"2011,1,66025029,""CZ053"",""CZ0531"",79"
"2011,1,66025029,""CZ053"",""CZ0532"",113"
"2011,1,66025029,""CZ053"",""CZ0533"",68"
"2011,1,66025029,""CZ053"",""CZ0534"",60"
"2011,1,66025029,""CZ063"",""CZ0631"",69"
"2011,1,66025029,""CZ063"",""CZ0632"",58"
"2011,1,66025029,""CZ063"",""CZ0633"",62"
"2011,1,66025029,""CZ063"",""CZ0634"",76"
"2011,1,66025029,""CZ063"",""CZ0635"",84"
"2011,1,66025029,""CZ064"",""CZ0641"",95"
"2011,1,66025029,""CZ064"",""CZ0642"",226"
"2011,1,66025029,""CZ064"",""CZ0643"",143"
"2011,1,66025029,""CZ064"",""CZ0644"",89"
"2011,1,66025029,""CZ064"",""CZ0645"",97"
"2011,1,66025029,""CZ064"",""CZ0646"",61"
"2011,1,66025029,""CZ064"",""CZ0647"",96"
"2011,1,66025029,""CZ071"",""CZ0711"",25"
"2011,1,66025029,""CZ071"",""CZ0712"",156"
"2011,1,66025029,""CZ071"",""CZ0713"",69"
"2011,1,66025029,""CZ071"",""CZ0714"",62"
"2011,1,66025029,""CZ071"",""CZ0715"",88"
"2011,1,66025029,""CZ072"",""CZ0721"",78"
"2011,1,66025029,""CZ072"",""CZ0722"",85"
"2011,1,66025029,""CZ072"",""CZ0723"",122"
"2011,1,66025029,""CZ072"",""CZ0724"",99"
"2011,1,66025029,""CZ080"",""CZ0801"",56"
"2011,1,66025029,""CZ080"",""CZ0802"",137"
"2011,1,66025029,""CZ080"",""CZ0803"",178"
"2011,1,66025029,""CZ080"",""CZ0804"",92"
"2011,1,66025029,""CZ080"",""CZ0805"",121"
"2011,1,66025029,""CZ080"",""CZ0806"",221"
"2011,1,66025029,""CZ099"",""CZ0999"",91"
"2011,1,66030034,""CZ010"",""CZ0100"",1431"
"2011,1,66030034,""CZ020"",""CZ0201"",133"
"2011,1,66030034,""CZ020"",""CZ0202"",125"
"2011,1,66030034,""CZ020"",""CZ0203"",180"
"2011,1,66030034,""CZ020"",""CZ0204"",142"
"2011,1,66030034,""CZ020"",""CZ0205"",112"
"2011,1,66030034,""CZ020"",""CZ0206"",143"
"2011,1,66030034,""CZ020"",""CZ0207"",152"
"2011,1,66030034,""CZ020"",""CZ0208"",146"
"2011,1,66030034,""CZ020"",""CZ0209"",207"
"2011,1,66030034,""CZ020"",""CZ020A"",186"
"2011,1,66030034,""CZ020"",""CZ020B"",126"
"2011,1,66030034,""CZ020"",""CZ020C"",65"
"2011,1,66030034,""CZ031"",""CZ0311"",236"
"2011,1,66030034,""CZ031"",""CZ0312"",91"
"2011,1,66030034,""CZ031"",""CZ0313"",82"
"2011,1,66030034,""CZ031"",""CZ0314"",66"
"2011,1,66030034,""CZ031"",""CZ0315"",60"
"2011,1,66030034,""CZ031"",""CZ0316"",85"
"2011,1,66030034,""CZ031"",""CZ0317"",105"
"2011,1,66030034,""CZ032"",""CZ0321"",68"
"2011,1,66030034,""CZ032"",""CZ0322"",86"
"2011,1,66030034,""CZ032"",""CZ0323"",235"
"2011,1,66030034,""CZ032"",""CZ0324"",89"
